,Operating Margin,Net Profit Margin,ROE Quality,ROA Quality,ROCE Quality,Gross Profit Margin,EBITDA Margin,Interest Coverage,PAT Growth,EPS Growth,Profitability Ranking
Average,179.0,254.0,228.0,239.0,259.0,335.0,236.0,206.0,0.0,0.0,0.0
Bronze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0
Danger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
Declining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,292.0,0.0
Excellent,491.0,210.0,384.0,379.0,458.0,339.0,473.0,527.0,399.0,354.0,0.0
Gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
Healthy,344.0,412.0,193.0,218.0,72.0,196.0,308.0,112.0,156.0,136.0,0.0
Loss Making,38.0,75.0,0.0,0.0,0.0,16.0,33.0,0.0,0.0,0.0,0.0
Negative,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Negative ROE,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Platinum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Poor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0
Silver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0
Stable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,176.0,0.0
Unknown,13.0,1.0,87.0,25.0,101.0,1.0,13.0,130.0,101.0,194.0,0.0
Weak,87.0,200.0,199.0,220.0,262.0,265.0,89.0,127.0,0.0,0.0,0.0
